iter	Passed	Remaining
0	29	8967
1	61	9111
2	94	9346
3	127	9402
4	166	9802
5	202	9903
6	241	10098
7	276	10102
8	310	10054
9	345	10011
10	380	9990
11	414	9951
12	447	9878
13	481	9829
14	525	9977
15	560	9942
16	593	9877
17	626	9816
18	663	9817
19	697	9761
20	729	9697
21	775	9794
22	812	9779
23	859	9878
24	895	9853
25	929	9798
26	964	9756
27	998	9701
28	1035	9672
29	1068	9616
30	1101	9556
31	1135	9509
32	1203	9734
33	1281	10022
34	1316	9964
35	1352	9916
36	1388	9866
37	1422	9806
38	1456	9744
39	1489	9683
40	1534	9690
41	1567	9627
42	1601	9574
43	1636	9519
44	1669	9461
45	1702	9398
46	1736	9348
47	1766	9271
48	1807	9260
49	1843	9215
50	1877	9167
51	1912	9118
52	1945	9066
53	1980	9022
54	2015	8977
55	2057	8964
56	2090	8911
57	2125	8867
58	2161	8830
59	2199	8798
60	2235	8757
61	2270	8717
62	2307	8681
63	2342	8637
64	2378	8598
65	2413	8555
66	2447	8513
67	2483	8473
68	2518	8432
69	2554	8394
70	2600	8386
71	2637	8352
72	2673	8312
73	2708	8272
74	2744	8233
75	2780	8194
76	2842	8233
77	2879	8196
78	2916	8157
79	2952	8118
80	2988	8080
81	3025	8042
82	3065	8013
83	3104	7982
84	3139	7941
85	3175	7901
86	3211	7862
87	3247	7823
88	3282	7783
89	3319	7745
90	3364	7726
91	3400	7688
92	3439	7655
93	3474	7613
94	3510	7576
95	3568	7583
96	3621	7579
97	3661	7548
98	3696	7505
99	3731	7462
100	3764	7417
101	3797	7371
102	3832	7329
103	3876	7305
104	3912	7265
105	3944	7218
106	3977	7173
107	4011	7131
108	4044	7087
109	4080	7048
110	4124	7023
111	4161	6985
112	4196	6945
113	4231	6904
114	4266	6864
115	4301	6822
116	4335	6781
117	4368	6737
118	4409	6706
119	4441	6662
120	4476	6621
121	4510	6580
122	4543	6537
123	4578	6498
124	4613	6459
125	4652	6425
126	4688	6386
127	4722	6345
128	4756	6304
129	4791	6265
130	4824	6223
131	4859	6184
132	4901	6154
133	4936	6115
134	4972	6077
135	5007	6038
136	5046	6004
137	5082	5966
138	5121	5932
139	5164	5902
140	5204	5869
141	5243	5834
142	5283	5801
143	5321	5765
144	5358	5728
145	5394	5690
146	5433	5655
147	5480	5628
148	5514	5588
149	5547	5547
150	5582	5508
151	5618	5470
152	5653	5431
153	5691	5396
154	5725	5356
155	5763	5319
156	5800	5283
157	5836	5245
158	5872	5207
159	5908	5169
160	5947	5134
161	5982	5096
162	6018	5058
163	6064	5029
164	6101	4992
165	6135	4952
166	6170	4914
167	6216	4884
168	6251	4845
169	6286	4807
170	6319	4767
171	6354	4728
172	6391	4691
173	6427	4654
174	6464	4617
175	6497	4578
176	6532	4539
177	6565	4500
178	6600	4462
179	6636	4424
180	6677	4390
181	6723	4359
182	6760	4321
183	6794	4283
184	6829	4245
185	6865	4207
186	6902	4171
187	6943	4136
188	6986	4102
189	7022	4065
190	7061	4029
191	7096	3992
192	7131	3953
193	7165	3915
194	7200	3877
195	7247	3845
196	7283	3807
197	7319	3770
198	7352	3731
199	7388	3694
200	7424	3656
201	7458	3618
202	7500	3584
203	7534	3545
204	7567	3507
205	7604	3469
206	7638	3431
207	7671	3393
208	7705	3355
209	7741	3317
210	7778	3281
211	7814	3243
212	7849	3206
213	7883	3168
214	7917	3130
215	7951	3092
216	7985	3054
217	8026	3019
218	8062	2982
219	8098	2944
220	8137	2908
221	8174	2872
222	8210	2834
223	8246	2797
224	8286	2762
225	8323	2725
226	8359	2688
227	8394	2650
228	8428	2613
229	8464	2576
230	8499	2538
231	8536	2502
232	8571	2464
233	8606	2427
234	8642	2390
235	8677	2353
236	8711	2315
237	8747	2278
238	8791	2243
239	8826	2206
240	8858	2168
241	8893	2131
242	8928	2094
243	8964	2057
244	8999	2020
245	9040	1984
246	9074	1947
247	9109	1909
248	9145	1873
249	9182	1836
250	9216	1799
251	9252	1762
252	9287	1725
253	9323	1688
254	9355	1650
255	9388	1613
256	9422	1576
257	9455	1539
258	9488	1502
259	9521	1464
260	9555	1427
261	9590	1390
262	9623	1353
263	9660	1317
264	9696	1280
265	9729	1243
266	9762	1206
267	9796	1169
268	9837	1133
269	9875	1097
270	9910	1060
271	9941	1023
272	9975	986
273	10009	949
274	10044	913
275	10080	876
276	10122	840
277	10154	803
278	10189	766
279	10221	730
280	10252	693
281	10284	656
282	10324	620
283	10362	583
284	10397	547
285	10435	510
286	10473	474
287	10509	437
288	10544	401
289	10581	364
290	10623	328
291	10657	291
292	10688	255
293	10720	218
294	10754	182
295	10786	145
296	10818	109
297	10852	72
298	10888	36
299	10923	0
